"","Oct_long","mil_time"
"1",0.0853764027146086,1
"2",0.118559776303203,1
"3",NA,1
"4",0.138741276296031,1
"5",0.0878892744207525,1
"6",NA,1
"7",0.0785948281004584,1
"8",0.098626065493213,1
"9",0.156284997752172,1
"10",0.159605724405941,1
"11",0.125540817724536,1
"12",0.114236034070318,1
"13",0.0604047705189072,1
"14",0.0619850353883966,1
"15",0.0820171763964371,2
"16",NA,2
"17",0.195274019873902,2
"18",0.127105454027299,2
"19",0.0881364819953329,2
"20",0.0701771342146444,2
"21",0.0918590369966373,2
"22",0.08022887163206,2
"23",0.101013425921398,2
"24",0.131680597534584,2
"25",0.141534152091899,2
"26",0.167535222402668,2
"27",0.0628417194768014,2
"28",0.112659838149137,2
"29",0.0925002701779126,3
"30",0.0937481950132718,3
"31",0.107132751893271,3
"32",0.176629411294076,3
"33",0.112159297135791,3
"34",0.0795715027180495,3
"35",0.100456561413732,3
"36",0.0638226525294572,3
"37",0.096936481521676,3
"38",0.115344915347711,3
"39",0.146400583785815,3
"40",0.112536340094088,3
"41",0.0600543597793644,3
"42",0.0988861634063055,3
"43",0.0649578173205141,4
"44",0.0823137684465183,4
"45",0.104788695914906,4
"46",0.115928510486366,4
"47",0.0876851025811426,4
"48",0.0548055646556473,4
"49",0.0325089514413101,4
"50",0.0817493560249438,4
"51",0.0960019296383701,4
"52",0.108379967821616,4
"53",0.115741577693385,4
"54",0.133107053495497,4
"55",NA,4
"56",0.074994384216298,4
"57",0.0751062660363301,5
"58",NA,5
"59",0.0932717738893434,5
"60",0.114466784451291,5
"61",0.125605081810636,5
"62",NA,5
"63",NA,5
"64",0.0751162245697733,5
"65",0.0780234308437515,5
"66",0.123250195170827,5
"67",0.138795736406773,5
"68",0.11506906637034,5
"69",0.0769385908676415,5
"70",NA,5
"71",0.0554687152587367,6
"72",0.0786093547963942,6
"73",0.108707672673128,6
"74",0.136853909625551,6
"75",0.115925378270735,6
"76",NA,6
"77",NA,6
"78",0.0693066660398426,6
"79",0.0821831115201904,6
"80",0.0926873759280652,6
"81",0.115937960846638,6
"82",0.0872437672357421,6
"83",0.0504422704133743,6
"84",NA,6
"85",0.0500934940726602,7
"86",NA,7
"87",0.0532620003363822,7
"88",0.107712869692784,7
"89",0.132414830305606,7
"90",0.0662967026931783,7
"91",0.0398139524041859,7
"92",0.0576229721836557,7
"93",NA,7
"94",0.0851269383364305,7
"95",0.105128501370605,7
"96",0.0056290239325097,7
"97",0.0752531379895247,7
"98",0.0620824291277034,7
"99",0.0811743037211528,8
"100",NA,8
"101",0.0787090845032294,8
"102",0.146676333702067,8
"103",0.0287199101816956,8
"104",0.0656265802185942,8
"105",0.0523231608896918,8
"106",0.0690615930230965,8
"107",0.0683480007384426,8
"108",0.0245773298605265,8
"109",0.120066098876247,8
"110",0.1272898339927,8
"111",NA,8
"112",0.0570502549656174,8
"113",0.0941328375073219,9
"114",0.0733265028995106,9
"115",0.113839329721261,9
"116",0.0817390354815206,9
"117",0.0980812387378254,9
"118",0.113658212600381,9
"119",NA,9
"120",0.095224257726022,9
"121",0.0586911101954961,9
"122",0.139951699523459,9
"123",0.162399982286345,9
"124",0.11234906450479,9
"125",NA,9
"126",0.0934827163682387,9
"127",0.112688936561104,10
