"","Hour","CO2","CH4"
"1",7,0.893936328864339,0.0769386587928812
"2",8,-0.825822747897291,0.104751889231883
"3",9,-1.91632962511635,0.103188250033453
"4",10,-2.01998337373142,0.111198548187455
"5",11,-2.59292961317044,0.0938133104486084
"6",12,-2.17790766998774,0.1156698286463
"7",13,5.59839698358237,0.0884985489621033
"8",14,-1.66596114851576,0.0957879255481307
"9",15,-0.253605168907342,0.0914143990743154
"10",16,-0.696028355355262,0.0970082578719548
"11",17,0.824462149409798,0.0751427184045972
"12",18,-2.69217046392936,0.0404903893278325
"13",19,-3.0962850657367,0.0770077965641931
