"","Year","Hour","ecosys_CH4","ecosys_CO2","AMF_FC","AMF_FCH4","seq"
"1",2015,1,0.306142740677419,2.15240497251613,4.85984535714286,0.933645416666667,1
"2",2015,2,0.31536256816129,2.12610105654839,3.44582535714286,0.819628636363636,2
"3",2015,3,0.288701299580645,2.04316132474194,4.30975389285714,1.00117045454545,3
"4",2015,4,0.306423558806452,2.0265197806129,4.98583725,1.14869535714286,4
"5",2015,5,0.280641370258065,2.00164185348387,5.92200428571429,1.02033428571429,5
"6",2015,6,0.295450165709677,0.364268281322581,0.260358928571429,0.958473214285714,6
"7",2015,7,0.267513292354839,-3.406253459,1.58584,0.854625769230769,7
"8",2015,8,0.292000535967742,-5.09152948480645,0.540264642857143,1.00876785714286,8
"9",2015,9,0.255634229096774,-5.82292102212903,-4.09348428571429,1.28522,9
"10",2015,10,0.280292041967742,-6.36250736812903,-8.2954,1.07255791666667,10
"11",2015,11,0.269783031483871,-6.36368476387097,-9.972925,0.737224642857143,11
"12",2015,12,0.338802501,-6.35137471458065,-10.7670915714286,0.715215,12
"13",2015,13,0.316871196064516,-6.57647756270968,-10.4404171428571,0.606094285714286,13
"14",2015,14,0.386447195129032,-5.71404284103226,-10.4030928571429,0.625903214285714,14
"15",2015,15,0.344387648258065,-5.26394822035484,-8.91341785714286,0.684078928571429,15
"16",2015,16,0.393196055129032,-4.32438673835484,-10.899025,0.720416071428571,16
"17",2015,17,0.368429292483871,-2.92709493435484,-9.01037642857143,0.809796428571429,17
"18",2015,18,0.407019657903226,-0.280450417290323,-8.83654230769231,0.76414375,18
"19",2015,19,0.384356503290323,2.41166440919355,-7.16243923076923,0.903921923076923,19
"20",2015,20,0.38803488116129,2.74756824377419,-4.16041923076923,0.871733846153846,20
"21",2015,21,0.36308192916129,2.48351689590323,1.45420276923077,1.11185333333333,21
"22",2015,22,0.367058343806452,2.36126721222581,6.08491785714286,1.20240916666667,22
"23",2015,23,0.337803223645161,2.27748182996774,5.5915135,1.05816458333333,23
"24",2015,24,0.343237592935484,2.25025627648387,5.89922857142857,1.00628884615385,24
"25",2016,1,0.452058925967742,2.78994573493548,4.162935,0.7439775,25
"26",2016,2,0.439693442935484,2.72361110335484,3.40299027777778,0.6849725,26
"27",2016,3,0.443919075225806,2.66977145203226,3.89489944444444,0.8529725,27
"28",2016,4,0.431443539774194,2.62981654283871,3.49830911764706,0.9843725,28
"29",2016,5,0.434101307225806,2.57842375825806,4.35598558823529,0.899715,29
"30",2016,6,0.415131379612903,0.585531576322581,3.70622764705882,0.7482325,30
"31",2016,7,0.417881048903226,-3.39938384564516,2.6121866,0.710175,31
"32",2016,8,0.412527954548387,-5.26586083425806,-0.690231666666667,0.8744225,32
"33",2016,9,0.424647102806452,-5.76697771235484,-8.59485941176471,1.1694,33
"34",2016,10,0.464139314322581,-5.78147590025806,-11.1963138888889,1.1752325,34
"35",2016,11,0.487202331483871,-6.05394845990323,-12.0077605263158,1.03934,35
"36",2016,12,0.567839230612903,-6.01699823929032,-13.2600944444444,1.199325,36
"37",2016,13,0.577015961516129,-5.65150490122581,-13.8167777777778,0.902718333333333,37
"38",2016,14,0.585987427774194,-5.5707406916129,-12.2671583333333,1.01407333333333,38
"39",2016,15,0.603082192354839,-4.80866808012903,-12.0221263157895,0.990473333333333,39
"40",2016,16,0.584922398774193,-4.06053330941935,-12.0976447368421,1.03510166666667,40
"41",2016,17,0.595363549709677,-2.53729111577419,-10.4770578947368,1.09770833333333,41
"42",2016,18,0.583262374580645,0.038432080483871,-9.00501842105263,1.07718,42
"43",2016,19,0.578004420677419,3.37641486525806,-5.51482105263158,1.105275,43
"44",2016,20,0.550297536903226,3.75604459929032,-2.76875755555556,0.971936666666667,44
"45",2016,21,0.529658747290323,3.42937149354839,2.06932350263158,0.67001,45
"46",2016,22,0.489847914290323,3.13703244322581,4.58669555555556,0.291265,46
"47",2016,23,0.48349706516129,2.98331640335484,4.099985,0.5710175,47
"48",2016,24,0.464664072225806,2.93209349796774,4.90510588235294,0.589855,48
"49",2017,1,0.351064555967742,2.51222630132258,NA,NA,49
"50",2017,2,0.375601401548387,2.49847207116129,NA,NA,50
"51",2017,3,0.340459782290323,2.41472240835484,NA,NA,51
"52",2017,4,0.366757078935484,2.40737627570968,NA,NA,52
"53",2017,5,0.330291996387097,2.34064298658065,NA,NA,53
"54",2017,6,0.362509641064516,0.436639938451613,NA,NA,54
"55",2017,7,0.31864251916129,-3.65863570532258,NA,NA,55
"56",2017,8,0.342021615032258,-5.79517291422581,NA,NA,56
"57",2017,9,0.344882006290323,-6.19307043187097,NA,NA,57
"58",2017,10,0.403014132709677,-6.42304336293548,NA,NA,58
"59",2017,11,0.419997190419355,-6.59053750022581,NA,NA,59
"60",2017,12,0.490276911741935,-6.49166117012903,NA,NA,60
"61",2017,13,0.445260783322581,-7.18619530183871,NA,NA,61
"62",2017,14,0.554934005258064,-5.99819887606452,NA,NA,62
"63",2017,15,0.486760337967742,-5.94078218812903,NA,NA,63
"64",2017,16,0.525890661741935,-5.24507906374194,NA,NA,64
"65",2017,17,0.507095146387097,-3.67498980167742,NA,NA,65
"66",2017,18,0.520916576709677,-0.73609899783871,NA,NA,66
"67",2017,19,0.501485097290323,2.60493069012903,NA,NA,67
"68",2017,20,0.496207233774194,3.22107773141936,NA,NA,68
"69",2017,21,0.435402986354839,2.90840118009677,NA,NA,69
"70",2017,22,0.431906244064516,2.84056394687097,NA,NA,70
"71",2017,23,0.388639030258065,2.68441801777419,NA,NA,71
"72",2017,24,0.400349543419355,2.64501017816129,NA,NA,72
"73",2018,1,0.375948011580645,2.42732096280645,NA,NA,73
"74",2018,2,0.353658920322581,2.357849726,NA,NA,74
"75",2018,3,0.360339005645161,2.33331093767742,NA,NA,75
"76",2018,4,0.338380151935484,2.26299767977419,NA,NA,76
"77",2018,5,0.345424417225806,2.23853951148387,NA,NA,77
"78",2018,6,0.326126847032258,0.404466926064516,NA,NA,78
"79",2018,7,0.333554762774194,-3.13276323229032,NA,NA,79
"80",2018,8,0.332692005451613,-4.28508367996774,NA,NA,80
"81",2018,9,0.311746086580645,-5.02178286848387,NA,NA,81
"82",2018,10,0.343273021612903,-5.48024241219355,NA,NA,82
"83",2018,11,0.389582548612903,-5.15193275387097,NA,NA,83
"84",2018,12,0.390914357451613,-5.55375532374194,NA,NA,84
"85",2018,13,0.418156758677419,-5.5730026936129,NA,NA,85
"86",2018,14,0.427478097483871,-5.17073921367742,NA,NA,86
"87",2018,15,0.440888292129032,-4.61368928212903,NA,NA,87
"88",2018,16,0.447722587483871,-3.71319556077419,NA,NA,88
"89",2018,17,0.429725083612903,-2.50394665622581,NA,NA,89
"90",2018,18,0.428699940516129,-0.317989065483871,NA,NA,90
"91",2018,19,0.438272664387097,2.21069890629032,NA,NA,91
"92",2018,20,0.413178858741935,2.89704549541935,NA,NA,92
"93",2018,21,0.416206225967742,2.7531970443871,NA,NA,93
"94",2018,22,0.393368158741935,2.63163927648387,NA,NA,94
"95",2018,23,0.396823281258065,2.55788413929032,NA,NA,95
"96",2018,24,0.367806801032258,2.46651115712903,NA,NA,96
"97",2019,1,0.417889376258064,2.41240368387097,0.156868333333333,0.38866,97
"98",2019,2,0.405988811096774,2.35977380335484,3.31018,0.451883,98
"99",2019,3,0.406585744451613,2.29207595825806,3.328598,0.498899,99
"100",2019,4,0.395053426129032,2.27774571122581,0.404861,0.409652,100
"101",2019,5,0.394208819967742,2.22675017951613,8.8430125,0.431101666666667,101
"102",2019,6,0.378498043032258,0.313725981387097,-6.93384375,0.342436666666667,102
"103",2019,7,0.380774996677419,-2.94144703467742,0.19157625,0.49216375,103
"104",2019,8,0.388922380354839,-4.29866761209677,2.522056,0.51807,104
"105",2019,9,0.374914970709677,-4.72568846780645,-2.778158,0.425069444444444,105
"106",2019,10,0.406059398387097,-5.08374334503226,-3.17338705882353,0.345165,106
"107",2019,11,0.478739222774194,-5.00277206596774,-3.10660911764706,0.312432777777778,107
"108",2019,12,0.465456613870968,-5.17193727464516,-1.3920386725,0.260977333333333,108
"109",2019,13,0.49393397516129,-5.31834392858064,-2.970437,0.300736666666667,109
"110",2019,14,0.522399993516129,-4.68537572754839,-2.619625,0.298743583333333,110
"111",2019,15,0.500370039419355,-3.83334865651613,-2.86947071428571,0.30736125,111
"112",2019,16,0.507215598516129,-3.07605792290323,-2.43445254761905,0.303694083333333,112
"113",2019,17,0.477107032903226,-2.22729328919355,-0.82520045,0.212186863636364,113
"114",2019,18,0.467767626322581,0.0732790678387097,-0.855664357142857,0.289268272727273,114
"115",2019,19,0.475375409096774,2.55695842170968,-0.449006166666667,0.291032954545455,115
"116",2019,20,0.449083176290323,3.04036105232258,-17.7968672,0.322007909090909,116
"117",2019,21,0.451189696741935,2.84016432112903,2.36699842105263,0.395558636363636,117
"118",2019,22,0.428526252870968,2.70457946896774,2.82601357142857,0.408494,118
"119",2019,23,0.440296352354839,2.59397301790323,6.40288625,0.455342777777778,119
"120",2019,24,0.422525875516129,2.52769180245161,3.338155,0.432135555555556,120
"121",2020,1,0.413800440032258,2.65808995383871,4.79408238095238,0.4067515,121
"122",2020,2,0.393330435709677,2.56596684993548,5.70591388888889,0.555873,122
"123",2020,3,0.403666775677419,2.52715588235484,4.15876078947368,0.46840125,123
"124",2020,4,0.383807381516129,2.4514358223871,3.7964897075,0.541756666666667,124
"125",2020,5,0.391484917,2.43334213580645,3.8671935,0.4217925,125
"126",2020,6,0.373390910387097,0.347180671774194,2.78169375,0.377947857142857,126
"127",2020,7,0.384020265677419,-3.61138313467742,1.6479836,0.346783888888889,127
"128",2020,8,0.373883597677419,-5.39473921280645,-2.21315684210526,0.45171,128
"129",2020,9,0.382180080903226,-6.29995824709677,-3.71534802631579,0.370779,129
"130",2020,10,0.450293233870968,-6.2303855776129,-5.69612582142857,0.422117222222222,130
"131",2020,11,0.49727376716129,-6.17595597493548,-5.3101,0.264569375,131
"132",2020,12,0.561331965774194,-6.28260965941935,-5.2507955,0.338604285714286,132
"133",2020,13,0.496491185225806,-6.73350673525806,-5.06639555555556,0.158502833333333,133
"134",2020,14,0.613887022774193,-5.64611103609677,-5.76061125,0.2607465,134
"135",2020,15,0.532275398193548,-5.41710148825806,-6.17931428571429,0.28522,135
"136",2020,16,0.554076078870968,-4.061958745,-4.2557,0.310955,136
"137",2020,17,0.527997432096774,-3.44104946145161,-5.08970625,0.3350326,137
"138",2020,18,0.521770493741936,-0.027866828967742,-5.071825,0.62968,138
"139",2020,19,0.53441404416129,2.92299988990323,-1.79795875,0.598978,139
"140",2020,20,0.478268094967742,3.30851405132258,0.905591777777778,0.48221,140
"141",2020,21,0.475836486,3.15060063612903,3.6975475,0.673854166666667,141
"142",2020,22,0.439964562,2.90859760441935,3.89046879411765,0.458513333333333,142
"143",2020,23,0.445174050709677,2.83419430841936,5.44136833333333,0.723017142857143,143
"144",2020,24,0.414876615064516,2.74131425474194,5.34308052631579,0.515132,144
"145",2021,1,0.14907956616129,1.50970708441935,3.6332,0.13056,145
"146",2021,2,0.128824786483871,1.46389972087097,4.0142,0.504565,146
"147",2021,3,0.138816799774194,1.44808058490323,2.83125,NA,147
"148",2021,4,0.118718197580645,1.40509416129032,4.8579,0.348493333333333,148
"149",2021,5,0.129894221516129,1.3961387963871,4.4899,0.275907,149
"150",2021,6,0.115543754064516,1.3868571186129,5.578865,0.81139,150
"151",2021,7,0.125541743806452,1.42468279009677,4.4897,0.42345125,151
"152",2021,8,0.110149052032258,1.44654536890323,6.12865,0.3865775,152
"153",2021,9,0.120661051967742,1.48254575445161,-2.7959,0.4001175,153
"154",2021,10,0.104538517451613,1.18188847093548,-4.3897,0.362179,154
"155",2021,11,0.118256985322581,-0.920293178,-4.85325,0.366915,155
"156",2021,12,0.101448865935484,-2.65008701780645,-7.08715,0.292,156
"157",2021,13,0.120123951612903,-3.84002151093548,-5.9769,0.283295,157
"158",2021,14,0.101765588580645,-4.4788426803871,-6.15515,0.293771666666667,158
"159",2021,15,0.126956170419355,-4.7404292036129,-7.2703,0.1964875,159
"160",2021,16,0.134397581709677,-4.73459811180645,-6.14095,0.305126666666667,160
"161",2021,17,0.198559029451613,-4.46520456451613,-4.41,0.23867,161
"162",2021,18,0.188834394096774,-4.21237513316129,-5.9938,0.362985,162
"163",2021,19,0.200244127322581,-3.20758434493548,-3.74715,0.3341,163
"164",2021,20,0.178377373903226,0.00415881680645161,-2.1053,NA,164
"165",2021,21,0.186831285741935,1.69499342151613,0.9462,NA,165
"166",2021,22,0.166941314677419,1.62665343648387,2.8486,NA,166
"167",2021,23,0.172442973354839,1.59402903541935,8.4172,NA,167
"168",2021,24,0.144163586709677,1.53433357451613,6.4447,NA,168
"169",2022,1,0.239646434290323,1.73559669429032,NA,NA,169
"170",2022,2,0.257694529709677,1.74503393519355,NA,NA,170
"171",2022,3,0.221448460096774,1.6648451003871,NA,NA,171
"172",2022,4,0.239342330645161,1.64912048187097,NA,NA,172
"173",2022,5,0.210352091870968,1.57588361429032,NA,NA,173
"174",2022,6,0.230594117258065,1.62222040170968,NA,NA,174
"175",2022,7,0.203603727419355,1.61447128322581,NA,NA,175
"176",2022,8,0.222733817322581,1.68177601616129,NA,NA,176
"177",2022,9,0.198518396677419,1.68025816277419,NA,NA,177
"178",2022,10,0.217715918935484,1.37954773629032,NA,NA,178
"179",2022,11,0.190851456677419,-0.877756150225806,NA,NA,179
"180",2022,12,0.217849656,-2.61004980732258,NA,NA,180
"181",2022,13,0.195784740096774,-3.82877958922581,NA,NA,181
"182",2022,14,0.240598776967742,-4.37532446622581,NA,NA,182
"183",2022,15,0.237304545612903,-4.64931966080645,NA,NA,183
"184",2022,16,0.316046016548387,-4.3629976236129,NA,NA,184
"185",2022,17,0.292148667451613,-4.21222011322581,NA,NA,185
"186",2022,18,0.384221177096774,-3.57144568509677,NA,NA,186
"187",2022,19,0.366844633096774,-2.505017291,NA,NA,187
"188",2022,20,0.371669246258065,0.590546605709677,NA,NA,188
"189",2022,21,0.317612608225806,2.19516167567742,NA,NA,189
"190",2022,22,0.319933301548387,2.05374735912903,NA,NA,190
"191",2022,23,0.260967481225806,1.89962601112903,NA,NA,191
"192",2022,24,0.280763489806452,1.84066884870968,NA,NA,192
