"","Hour","CO2","CH4"
"1",7,-2.47505301690685,0.212865400258864
"2",8,-1.3696328816627,0.248705902243735
"3",9,-2.67477609211021,0.343762727131705
"4",10,-6.77788616665337,0.224162668187789
"5",11,-6.8240306677576,0.316768879120765
"6",12,-7.55014263835175,0.306621848147397
"7",13,-6.48452871924386,0.328593806082218
"8",14,-7.08887767443832,0.347013166412913
"9",15,-4.98102190900646,0.30812354407456
"10",16,-6.94941451868946,0.346225663583658
"11",17,-9.19984494753803,0.330628223287065
"12",18,0.32490404658969,0.368058331116
"13",19,-0.038762251035853,0.30313487858138
