"","Aug_long2","mil_time"
"1",6.06994495660025,1
"2",2.02582174498745,1
"3",2.17685209002987,1
"4",8.83997525220739,1
"5",10.1733808747785,1
"6",-1.40735367081867,1
"7",1.67416369922944,1
"8",12.2445153887932,1
"9",2.68608564792335,1
"10",6.12688851644733,1
"11",7.36416259981649,1
"12",46.3387413686697,1
"13",10.8274905959968,1
"14",2.52673820781748,1
"15",7.54845544798309,2
"16",8.91424402123815,2
"17",0.715544203362411,2
"18",4.76378143266052,2
"19",33.2345493623427,2
"20",3.99069910545803,2
"21",-0.69965785833182,2
"22",-6.50395236352314,2
"23",22.6160913770375,2
"24",3.67447954184539,2
"25",6.43336244327657,2
"26",41.9533492061793,2
"27",4.72281019250913,2
"28",1.53829730951448,2
"29",-0.489638413612797,3
"30",-8.19274688204556,3
"31",1.15011527307654,3
"32",3.61353592830439,3
"33",20.8869899780734,3
"34",3.4270674233195,3
"35",3.3374450512755,3
"36",2.39751516715285,3
"37",-15.9120847058708,3
"38",7.56000416074645,3
"39",6.47422259812433,3
"40",24.1103436031453,3
"41",15.3118554167135,3
"42",1.88916357639944,3
"43",22.6784364586586,4
"44",-4.38201737801009,4
"45",4.12676459120264,4
"46",5.17564358161597,4
"47",23.4978737882306,4
"48",18.5336045079179,4
"49",1.23273020066281,4
"50",2.35302376560121,4
"51",-1.13510597961672,4
"52",2.39150231708037,4
"53",7.55113909998248,4
"54",10.7477462116891,4
"55",24.3513027972735,4
"56",2.76947858173304,4
"57",4.38327563682072,5
"58",-8.78810377003697,5
"59",8.71158310373712,5
"60",6.91464562344701,5
"61",6.17272971738357,5
"62",11.2237081414342,5
"63",2.80346238667832,5
"64",-0.58848702425062,5
"65",7.89096467470259,5
"66",3.80767319025018,5
"67",7.63708968850652,5
"68",35.9796160027836,5
"69",7.95347821328405,5
"70",2.71713414054984,5
"71",6.1810998976695,6
"72",3.51029474793363,6
"73",17.5575936915392,6
"74",-0.112809708782191,6
"75",6.94892651501313,6
"76",7.83359892205839,6
"77",0.991532935159429,6
"78",0.986447508542709,6
"79",36.4015256475103,6
"80",158.156623525492,6
"81",4.87728539497484,6
"82",7.16262650706489,6
"83",6.16694350755544,6
"84",4.17495117552297,6
"85",1.78156978296324,7
"86",3.23468582953082,7
"87",6.97164100179232,7
"88",0.501007092258182,7
"89",13.3264944533459,7
"90",4.37184573335577,7
"91",6.61477175252344,7
"92",-5.56858476151823,7
"93",5.31136892249356,7
"94",11.0963254600896,7
"95",0.161968614133866,7
"96",0.976008982619588,7
"97",4.34691427732812,7
"98",1.18372115038759,7
"99",-13.8538429398703,8
"100",-0.229739153365076,8
"101",-10.4508586263104,8
"102",-2.57548527256147,8
"103",2.65038630571014,8
"104",6.93175991867841,8
"105",2.18276361283957,8
"106",0.138712347261742,8
"107",-9.2293870567889,8
"108",9.29446629411543,8
"109",-2.59009487089865,8
"110",-15.7342734466085,8
"111",1.28990366800894,8
"112",NA,8
"113",0.807730463554172,9
"114",-6.12346561689329,9
"115",10.8551382617906,9
"116",-1.8484232126155,9
"117",2.68017536135012,9
"118",-3.036900121872,9
"119",NA,9
"120",7.489382347649,9
"121",-7.28988847264542,9
"122",-0.403171676365612,9
"123",-5.87805954681632,9
"124",-9.78805707998081,9
"125",-3.9000552871073,9
"126",NA,9
"127",20.1749774959887,10
"128",-6.84928328581517,10
"129",-5.07462427419572,10
"130",-3.92118520142346,10
"131",4.03470512898796,10
"132",-3.59278896875341,10
"133",NA,10
"134",-6.51977805712075,10
"135",-3.74812467251868,10
"136",-5.50704883143149,10
"137",-6.43986686181634,10
"138",-9.43773161824305,10
"139",-5.21656395898113,10
"140",NA,10
"141",-6.79713681472011,11
"142",-12.6523435618284,11
"143",-8.49199403874634,11
"144",-2.52414195048587,11
"145",-3.65563053277888,11
"146",-6.57720856834095,11
"147",NA,11
"148",-6.3179290171457,11
"149",-6.43780021642779,11
"150",-7.45034605306824,11
"151",-8.73523521291326,11
"152",-5.7843375657082,11
"153",-5.14899887437044,11
"154",-7.53941775995964,11
"155",-7.67629595942848,12
"156",-11.2794083098835,12
"157",-9.13557122015674,12
"158",-8.41735339535682,12
"159",-7.54938233312624,12
"160",-8.9423620595725,12
"161",3.39668905907422,12
"162",-7.98078558828681,12
"163",-5.41160560763563,12
"164",-8.02856209792136,12
"165",-7.25935325623866,12
"166",-2.33779808333923,12
"167",-7.0873643966923,12
"168",-7.82727610004233,12
"169",-9.27217202955352,13
"170",-9.06201577745842,13
"171",-9.06509286740142,13
"172",-7.81177093317153,13
"173",-6.82339055894408,13
"174",-9.84653123539828,13
"175",-6.7874938787947,13
"176",-7.8977519975788,13
"177",-6.37542077698624,13
"178",-8.81437142857626,13
"179",-7.95759782139436,13
"180",-6.24323426915211,13
"181",-5.55047999103833,13
"182",-4.19467337147648,13
"183",-6.6636792420806,14
"184",-5.86927432810726,14
"185",-10.3994717953978,14
"186",-9.26910008678844,14
"187",-4.21687994066067,14
"188",-9.55877827626197,14
"189",-7.56678229551466,14
"190",-8.69516671610995,14
"191",-5.46408155348159,14
"192",-7.06922060858738,14
"193",3.88178860452009,14
"194",-6.51118258727786,14
"195",-6.47522043490035,14
"196",-6.90635280876566,14
"197",-8.25035020551894,15
"198",-6.70758363621137,15
"199",-8.66803787661869,15
"200",-8.19967783111607,15
"201",-7.10384399639531,15
"202",-6.67595825553031,15
"203",-8.54903604290468,15
"204",-8.83099702493317,15
"205",-7.4697136991672,15
"206",-7.70033264650761,15
"207",-6.91860370402681,15
"208",-9.85442667628789,15
"209",-2.35505613177274,15
"210",-1.96066971514571,15
"211",-4.32369136953873,16
"212",-6.85844665047488,16
