"","Hour","CO2","CH4"
"1",7,3.76015557201289,0.217860400895539
"2",8,-3.27871364734314,0.181027349912673
"3",9,-4.57774051420689,0.242943333070479
"4",10,5.26076080601303,0.192713564356076
"5",11,-8.00504212405657,0.25080266260917
"6",12,-6.46334080953184,0.22777489816014
"7",13,-5.5365065201725,0.239349670136174
"8",14,-7.38468223356793,0.256701544763225
"9",15,-6.49924090759554,0.264524442573423
"10",16,-5.02096502594295,0.247063500249404
"11",17,-2.27662318958675,0.26785492309381
"12",18,-0.341764379581919,0.00886473939575066
"13",19,4.26217572196508,NA
