"","Jul_long_FC","mil_time"
"1",-9.07822788068957,1
"2",17.1300952054471,1
"3",4.6203558630353,1
"4",NA,1
"5",0.204682694170487,1
"6",-0.492552900164664,1
"7",1.70242421707414,1
"8",9.42920641107369,1
"9",20.3713276622902,1
"10",2.33831672710128,1
"11",NA,1
"12",2.61093764379247,1
"13",8.50712701114837,1
"14",2.22585018753621,1
"15",3.15625145046534,2
"16",22.6703328788254,2
"17",7.09669885269832,2
"18",NA,2
"19",3.41515526211616,2
"20",14.2227363764424,2
"21",0.944122449927101,2
"22",-0.12611403469901,2
"23",7.88609703445979,2
"24",3.88022866031151,2
"25",NA,2
"26",4.24633336057575,2
"27",12.4154552788225,2
"28",1.57250251064051,2
"29",3.19183970256654,3
"30",9.00494408196389,3
"31",4.05882799635891,3
"32",NA,3
"33",5.31553040834818,3
"34",10.9511957502266,3
"35",3.46925441100913,3
"36",7.12800431799146,3
"37",9.37074187303349,3
"38",1.7596137125959,3
"39",NA,3
"40",-1.52323729399065,3
"41",5.18980315606874,3
"42",2.37090978739704,3
"43",-131.020747943587,4
"44",9.4958773335625,4
"45",1.14007002950043,4
"46",NA,4
"47",-10.7714619089423,4
"48",-1.5333639257462,4
"49",2.29843598553339,4
"50",0.603675242862027,4
"51",11.5683186118634,4
"52",12.1837319096752,4
"53",NA,4
"54",8.46287131149037,4
"55",4.38120860046278,4
"56",0.935387311274622,4
"57",7.30507950346623,5
"58",3.06325317814541,5
"59",5.1928993343878,5
"60",NA,5
"61",-8.12299012105747,5
"62",8.38811216713348,5
"63",1.77893410144583,5
"64",5.59518643710201,5
"65",6.31813420573933,5
"66",2.45036866500058,5
"67",NA,5
"68",1.74179606174054,5
"69",3.8363110404236,5
"70",2.23199007285227,5
"71",1.55355472631471,6
"72",5.05265649318889,6
"73",5.46199370964085,6
"74",6.42898238990897,6
"75",1.74278664266226,6
"76",4.35652236726211,6
"77",0.926717345052516,6
"78",6.7493746080109,6
"79",2.67639675494727,6
"80",317.974802800148,6
"81",-3.54522239628014,6
"82",4.75722650836228,6
"83",19.9974809918892,6
"84",0.721477800862495,6
"85",-0.107133884699997,7
"86",-0.294080654458502,7
"87",25.6642100971343,7
"88",2.12552237577189,7
"89",1.03975431460264,7
"90",3.73509833369522,7
"91",0.152085718565699,7
