"","Sep_long2","mil_time"
"1",1.76607409075418,1
"2",2.91695374284409,1
"3",-15.428045176237,1
"4",1.77605289310832,1
"5",-4.58997211900181,1
"6",0.456568963585895,1
"7",32.9412619514515,1
"8",1.76051541112347,1
"9",-40.1688769690633,1
"10",1.87504292669328,1
"11",1.1504848177316,1
"12",-2.55059450837591,1
"13",12.9951043533729,1
"14",4.73350094415921,1
"15",2.5094183487678,2
"16",-0.807134284056743,2
"17",2.4189223478981,2
"18",1.231486030016,2
"19",0.664487638406742,2
"20",0.528774277216032,2
"21",32.8744618591548,2
"22",2.03232723012026,2
"23",2.82802106209388,2
"24",-0.0577895011217941,2
"25",0.846380108735966,2
"26",-8.77556844008775,2
"27",27.1852029051585,2
"28",21.4280710539345,2
"29",1.73030719265835,3
"30",3.02235945201785,3
"31",2.99638774899146,3
"32",4.08649065367993,3
"33",3.39264860749066,3
"34",27.698873308382,3
"35",25.5230825043022,3
"36",2.08509302915866,3
"37",0.0990801700896137,3
"38",3.15102965712143,3
"39",3.99578572941378,3
"40",-6.95443427430138,3
"41",9.41133730404374,3
"42",17.9777075891326,3
"43",1.43842563652383,4
"44",0.85303226621369,4
"45",11.9992362597164,4
"46",1.17360870200051,4
"47",-2.91940585257118,4
"48",33.3691109501557,4
"49",35.0438603696346,4
"50",1.63721554533882,4
"51",2.29211064788959,4
"52",4.63209795198166,4
"53",-4.04851324260088,4
"54",3.02971231545453,4
"55",35.6761422095711,4
"56",19.2241617830154,4
"57",1.17842757880596,5
"58",1.96543163923287,5
"59",0.533028137771927,5
"60",0.232324736228064,5
"61",6.14014161505296,5
"62",12.6892669893381,5
"63",-0.664817099605587,5
"64",1.27948279247433,5
"65",2.87081599028968,5
"66",9.1490525962528,5
"67",0.514254928311589,5
"68",-0.641617653709006,5
"69",17.0472047587388,5
"70",46.2031707066818,5
"71",1.6476048611763,6
"72",1.2134810491796,6
"73",4.83389513661285,6
"74",0.56863364412239,6
"75",-4.67861148011755,6
"76",7.93658352062238,6
"77",48.0578362622835,6
"78",1.09101485265189,6
"79",1.80130670534505,6
"80",-19.4964641087351,6
"81",0.548036513535102,6
"82",4.71480314977013,6
"83",-0.309842156177377,6
"84",23.6689391361776,6
"85",0.709947532264716,7
"86",1.60178367762651,7
"87",6.04374913525133,7
"88",1.84402661977659,7
"89",-0.424609661899495,7
"90",12.1317995262351,7
"91",19.4355139406854,7
"92",-0.346527204089927,7
"93",2.96558195367712,7
"94",2.39255066246654,7
"95",2.26443863711565,7
"96",7.45209856426682,7
"97",27.5602784616004,7
"98",60.199237872223,7
"99",-0.260434139753269,8
"100",2.28027061216286,8
"101",-0.239803609176033,8
"102",-1.32168001042125,8
"103",2.84410025613481,8
"104",15.241963499713,8
"105",20.0592296344402,8
"106",0.726236270692774,8
"107",2.08930938833036,8
"108",10.0214782872349,8
"109",-2.65674895262294,8
"110",-0.834497324316714,8
"111",6.62499839469375,8
"112",-1.93224429893202,8
"113",-1.84751666421922,9
"114",-1.8998052022703,9
"115",2.84794857425987,9
"116",-3.09459160887177,9
"117",-1.80742356900593,9
"118",-4.51028587951472,9
"119",1.44137565506271,9
"120",-11.2107329210475,9
"121",-3.60030354475388,9
"122",-3.13731892151465,9
"123",-3.14420131208006,9
"124",-3.96568921519437,9
"125",-8.9340152037905,9
"126",-3.03943124986368,9
"127",-16.7317553614063,10
"128",-3.44009975270435,10
"129",-8.05532296113137,10
"130",-4.76786918440122,10
"131",-2.74433246373453,10
"132",-5.81138412188475,10
"133",-9.5195109701472,10
"134",-6.5676275275828,10
"135",-5.08913673012637,10
"136",20.8120963742155,10
"137",-4.76786205268039,10
"138",-6.2322859087744,10
"139",-4.56146095820452,10
"140",-6.6118155803338,10
"141",-6.2682586251991,11
"142",-6.45505968144599,11
"143",-8.27485252753776,11
"144",-4.43755581438034,11
"145",-7.09650128085425,11
"146",-9.10189130411294,11
"147",-8.7374969607525,11
"148",-5.49115962047845,11
"149",-2.61188017764016,11
"150",172.229354812107,11
"151",-6.07425904912713,11
"152",-5.50999269625911,11
"153",-20.4007451684497,11
