"","Sep_long","mil_time"
"1",NA,1
"2",NA,1
"3",0.308474397159332,1
"4",0.137875627189111,1
"5",0.284118157997564,1
"6",NA,1
"7",0.650273010314229,1
"8",0.229526374192289,1
"9",0.217030289136475,1
"10",NA,1
"11",NA,1
"12",NA,1
"13",NA,1
"14",0.309358041564292,1
"15",0.290213441424129,2
"16",NA,2
"17",0.307238848498431,2
"18",0.172708784464349,2
"19",NA,2
"20",NA,2
"21",NA,2
"22",0.242626295213783,2
"23",0.385500023795306,2
"24",0.384457011805456,2
"25",0.165001918492065,2
"26",NA,2
"27",0.363549338816712,2
"28",NA,2
"29",0.228915915488128,3
"30",0.373941254108247,3
"31",0.500264496706796,3
"32",0.214027814584352,3
"33",NA,3
"34",0.323828880680483,3
"35",NA,3
"36",0.263790761631132,3
"37",0.229413527237278,3
"38",0.415351149595673,3
"39",0.123564530825542,3
"40",NA,3
"41",NA,3
"42",NA,3
"43",0.217992757058479,4
"44",0.287136291323661,4
"45",NA,4
"46",NA,4
"47",NA,4
"48",0.28891447119898,4
"49",NA,4
"50",0.224733067012228,4
"51",0.315177294548845,4
"52",NA,4
"53",NA,4
"54",NA,4
"55",0.230150988961361,4
"56",NA,4
"57",NA,5
"58",0.268912298404773,5
"59",NA,5
"60",0.105765334647762,5
"61",NA,5
"62",NA,5
"63",NA,5
"64",0.191453725189024,5
"65",0.271082750799547,5
"66",NA,5
"67",0.131219961556673,5
"68",NA,5
"69",NA,5
"70",0.31260681289305,5
"71",0.220732313016656,6
"72",0.151524852155643,6
"73",0.240605890641215,6
"74",0.131398848353724,6
"75",NA,6
"76",NA,6
"77",0.51241246853864,6
"78",0.182860601942626,6
"79",0.207252263560466,6
"80",0.295599290039015,6
"81",0.116087794762184,6
"82",NA,6
"83",NA,6
"84",0.313962358054348,6
"85",0.230520609726145,7
"86",0.204174895724243,7
"87",0.280584076276216,7
"88",0.11580231098469,7
"89",NA,7
"90",NA,7
"91",NA,7
"92",NA,7
"93",0.341079043779429,7
"94",NA,7
"95",0.0658125918962438,7
"96",NA,7
"97",0.348929556000288,7
"98",0.398247941475539,7
"99",0.244349303989504,8
"100",0.226298807507744,8
"101",0.128324755751256,8
"102",NA,8
"103",NA,8
"104",NA,8
"105",0.243475687529611,8
"106",0.255680733065011,8
"107",0.247670934251578,8
"108",0.183549856506915,8
"109",NA,8
"110",0.213533128562695,8
"111",NA,8
"112",NA,8
"113",0.193785069649492,9
"114",0.220998755237249,9
"115",0.114888643092557,9
"116",0.0866180661137999,9
"117",NA,9
"118",NA,9
"119",NA,9
"120",0.16340341726928,9
"121",0.237629962222598,9
"122",0.147458969566063,9
"123",0.164983718178335,9
"124",NA,9
"125",NA,9
"126",0.299479547884679,9
"127",NA,10
"128",0.20981880472398,10
"129",0.289325358440336,10
"130",0.17204742407744,10
"131",NA,10
"132",NA,10
"133",0.13125370159269,10
"134",0.390344043186845,10
"135",0.219564138682784,10
"136",0.198566786880202,10
"137",NA,10
"138",NA,10
"139",NA,10
"140",0.332626406979555,10
"141",NA,11
"142",0.297043962481145,11
"143",0.162617255953722,11
"144",0.144234547702535,11
"145",NA,11
"146",0.248522402876528,11
"147",0.229947533938507,11
"148",0.311282077233587,11
"149",0.175775981953696,11
"150",0.248406745811827,11
"151",0.16876271934013,11
"152",NA,11
"153",-0.0780508338487997,11
"154",0.211306814473964,11
"155",0.403495367721926,12
"156",0.25477833992555,12
"157",0.269778219786664,12
"158",0.187318562794146,12
"159",0.129126886394955,12
"160",0.213087102113439,12
"161",0.25669387294429,12
"162",0.411433522996474,12
"163",0.375857123209454,12
"164",0.182428827347312,12
"165",0.0305929060131341,12
"166",0.316814550873781,12
"167",0.226981915070109,12
"168",0.252850079337148,12
"169",0.399135066101113,13
"170",0.290391273071742,13
"171",0.165667397570078,13
"172",0.199237163667979,13
"173",0.125747914366609,13
"174",0.243264172706149,13
"175",0.237531854035815,13
"176",0.395118877771282,13
"177",0.278697430660114,13
"178",0.259746601523889,13
"179",0.166987308806521,13
"180",0.104118768747997,13
"181",0.161724860585032,13
"182",0.161479884627634,13
"183",0.286666152275782,14
"184",0.322141207101423,14
"185",0.261757798652875,14
"186",0.16330266760871,14
"187",0.136650169677946,14
"188",0.20942790834937,14
"189",0.201087960086052,14
"190",0.280117005554429,14
"191",0.429220311936412,14
"192",0.219910751854524,14
"193",0.199641798090657,14
"194",0.18491556752402,14
